,policy,mem_capacity,num_funcs,cold_start_num,cold_cost,mem_cost,trace_ptr,trace_len
0,TTL,80000,200,3856,51840.81100000026,556409221.7837234,28818,28818
1,TTL,80000,200,4345,129985.05899999964,491401436.3081801,28158,28158
2,TTL,80000,300,5301,123190.55399999865,683690548.130358,40684,40684
3,TTL,80000,300,5443,124179.17699999889,765847149.1359966,41303,41303
4,TTL,80000,400,6472,172428.90199999846,1053442875.5327284,60347,60347
5,TTL,80000,400,6888,122704.64599999865,949697066.7657249,57864,57864
