,policy,mem_capacity,num_funcs,cold_start_num,cold_cost,mem_cost,trace_ptr,trace_len
0,TTL,80000,200,2388,35194.3769999997,499175529.32808715,1361159,1361159
1,TTL,80000,200,3093,106389.35900000023,508638472.9326979,2073830,2073830
2,TTL,80000,300,3481,59769.83100000014,655634688.501066,4605477,4605477
3,TTL,80000,300,3420,132028.63099999947,648733244.2016119,1802353,1802353
4,TTL,80000,400,4161,101828.03599999945,965258182.1073376,7567003,7567003
5,TTL,80000,400,4191,85366.34099999968,951574776.6460842,2107876,2107876
