,policy,mem_capacity,num_funcs,cold_start_num,cold_cost,mem_cost,trace_ptr,trace_len
0,TTL,80000,200,2557,72069.51800000043,420177422.3902161,2253028,2253028
1,TTL,80000,200,2363,37011.51299999981,454281388.8149781,1111365,1111365
2,TTL,80000,300,3451,115440.78700000005,812189884.0861838,1134029,1134029
3,TTL,80000,300,3762,87326.46999999958,625020246.8937304,2211830,2211830
4,TTL,80000,400,4720,99287.27300000006,961140446.9168171,11090261,11090261
5,TTL,80000,400,5185,143839.46399999858,1164074242.6393065,7135362,7135362
